T,H,S,metric,mean,lo,hi
100,500,40,clustering_time,0.005739264686902364,0.00430912879606088,0.007209300946754712
100,500,40,embedding_time,0.0067641691615184145,0.006413724170997739,0.007125353653294345
100,500,40,error_stage1,0.38266666666666677,0.3636666666666667,0.40099999999999997
100,500,40,error_stage2,0.38266666666666677,0.36399999999999993,0.4000000000000001
100,500,40,refinement_time,0.11587149742990732,0.11514555561356246,0.11680616130586713
100,500,40,svd_time,0.3102250409002105,0.2589916049254437,0.36223713686379294
100,500,40,total_time,0.43859997217853863,0.38874804276817787,0.4924145757996788
200,500,40,clustering_time,0.005413643643260002,0.003982788079107801,0.006940193003974855
200,500,40,embedding_time,0.012762654510637125,0.012364811097892623,0.013180641938621798
200,500,40,error_stage1,0.3495000000000001,0.3375000000000001,0.36183333333333334
200,500,40,error_stage2,0.3495000000000001,0.3375000000000001,0.3615
200,500,40,refinement_time,0.23207019455730915,0.2285608549028014,0.23763223695413518
200,500,40,svd_time,0.29601267737646897,0.2654716419459631,0.32725649721144384
200,500,40,total_time,0.5462591700876752,0.5146764059954633,0.5786856642039492
300,500,40,clustering_time,0.0033165267979105312,0.002477243410733839,0.004218725380487739
300,500,40,embedding_time,0.01775203539679448,0.017108756792731585,0.018433306602140268
300,500,40,error_stage1,0.31355555555555553,0.29655555555555557,0.3293361111111111
300,500,40,error_stage2,0.31344444444444447,0.2968888888888889,0.3296666666666666
300,500,40,refinement_time,0.33169998079538343,0.3284466864308342,0.3347249142561729
300,500,40,svd_time,0.30563218699147304,0.2755085797095671,0.3381843626545742
300,500,40,total_time,0.6584007299815615,0.6292331669293344,0.6894180182879791
400,500,10,clustering_time,0.021503282772998015,0.01881265943714728,0.02439607626913736
400,500,10,embedding_time,0.015865069876114527,0.015689000819499296,0.01605206387427946
400,500,10,error_stage1,0.0,0.0,0.0
400,500,10,error_stage2,0.0,0.0,0.0
400,500,10,refinement_time,0.47059651588400203,0.4577560662974914,0.48757396535327036
400,500,10,svd_time,0.012075681673983733,0.011613472731163105,0.01257872731424868
400,500,10,total_time,0.5200405502070983,0.506704187807627,0.5366466580331325
400,500,20,clustering_time,0.02949167937040329,0.025625112682270506,0.03368827195682872
400,500,20,embedding_time,0.01802388361344735,0.017803178786610564,0.01824914666513602
400,500,20,error_stage1,0.00249999999999998,0.0017499999999999812,0.0032499999999999864
400,500,20,error_stage2,0.0001666666666666631,0.0,0.0004166666666666578
400,500,20,refinement_time,0.48491736793269713,0.470731441283909,0.5026748430232207
400,500,20,svd_time,0.04612505746384462,0.04523329838955154,0.047061628486650686
400,500,20,total_time,0.5785579883803924,0.5623756219477704,0.5985163459042088
400,500,30,clustering_time,0.020202984164158503,0.018665107424991827,0.02182241069773833
400,500,30,embedding_time,0.021078655744592348,0.020680831655239065,0.021532488654678068
400,500,30,error_stage1,0.07775000000000001,0.053916666666666696,0.10591666666666669
400,500,30,error_stage2,0.03283333333333332,0.01483124999999998,0.05708541666666663
400,500,30,refinement_time,0.4872523631279667,0.47370885806158186,0.5042902898586665
400,500,30,svd_time,0.11963045448064805,0.11807557056813191,0.12129288896452636
400,500,30,total_time,0.6481644575173656,0.6337293214987342,0.6667631459794938
400,500,40,clustering_time,0.013326156232506037,0.010525372887495906,0.01638804520557945
400,500,40,embedding_time,0.021183314888427656,0.020731351356953382,0.021632273049714667
400,500,40,error_stage1,0.2910833333333333,0.27637395833333334,0.30512500000000004
400,500,40,error_stage2,0.28991666666666666,0.2756656250000001,0.3045010416666667
400,500,40,refinement_time,0.42661567851901055,0.42112560924453035,0.4325192822725512
400,500,40,svd_time,0.3014435357414186,0.29204166513790064,0.3115984953652757
400,500,40,total_time,0.7625686853813628,0.7471206273666272,0.7779171700542793
400,500,50,clustering_time,0.011006750538945198,0.008294544235492746,0.01405847955184678
400,500,50,embedding_time,0.02297800729672114,0.022196466730286676,0.023788968427106736
400,500,50,error_stage1,0.3689166666666666,0.35816666666666663,0.37950208333333335
400,500,50,error_stage2,0.3689166666666666,0.35816666666666663,0.3789187500000001
400,500,50,refinement_time,0.4117721227928996,0.4095692605478689,0.4140076563802237
400,500,50,svd_time,1.4611984414979815,1.289413187277193,1.6390378492387632
400,500,50,total_time,1.9069553221265474,1.737157388610455,2.083144249212928
400,500,60,clustering_time,0.004485386858383815,0.003463217974640429,0.005675626957478622
400,500,60,embedding_time,0.025982894375920294,0.0253876168311884,0.026647962662391365
400,500,60,error_stage1,0.3945,0.385,0.40424999999999994
400,500,60,error_stage2,0.3945,0.3847500000000001,0.4044166666666666
400,500,60,refinement_time,0.4128180937220653,0.41070021557311215,0.41507400798921784
400,500,60,svd_time,3.797413098004957,3.706604689828431,3.8797670297930016
400,500,60,total_time,4.240699472961326,4.154258299803671,4.318536168651965
500,500,40,clustering_time,0.0024599377686778706,0.0020562947308644655,0.0031593761080875994
500,500,40,embedding_time,0.024936506897211073,0.023641472961753604,0.026446039541624486
500,500,40,error_stage1,0.29733333333333334,0.27386666666666665,0.3165333333333334
500,500,40,error_stage2,0.2939333333333333,0.2684666666666667,0.31393666666666664
500,500,40,refinement_time,0.5023060940206051,0.5000583492343624,0.5045320609662061
500,500,40,svd_time,0.321404001240929,0.31109450298051045,0.33215779906138776
500,500,40,total_time,0.851106539927423,0.8396325581862281,0.8633816789556295
600,500,40,clustering_time,0.002265155439575513,0.002152132662013173,0.002388007470096151
600,500,40,embedding_time,0.027995149977505206,0.02636684909618149,0.029923040888582664
600,500,40,error_stage1,0.287,0.26066666666666666,0.3119444444444444
600,500,40,error_stage2,0.27694444444444444,0.24722222222222226,0.3048902777777777
600,500,40,refinement_time,0.601861768340071,0.5992921478425464,0.6042095041228458
600,500,40,svd_time,0.37067341189831493,0.3612791864465301,0.38153648004091034
600,500,40,total_time,1.0027954856554666,0.9914943915062274,1.0150163204828277
